store_id,store_name,total_quantity_sold
ST-21,"Apple Orchard Road",9348
ST-23,"Apple Covent Garden",9259
ST-24,"Apple Bluewater",9238
ST-22,"Apple Regent Street",9230
ST-25,"Apple Munich",9224
ST-20,"Apple Shibuya",6707
ST-16,"Apple Rideau Centre",6705
ST-18,"Apple CF Sherway Gardens",6694
ST-17,"Apple West Edmonton Mall",6580
ST-19,"Apple Marunouchi",6445
ST-27,"Apple Amsterdam",6129
ST-29,"Apple Lyon",5970
ST-26,"Apple KurfÃ¼rstendamm",5906
ST-30,"Apple Milan",5903
ST-28,"Apple Champs-Ã‰lysÃ©es",5900
ST-15,"Apple Chinook Centre",5548
ST-31,"Apple Dubai Mall",4955
ST-33,"Apple Barcelona",31
ST-32,"Apple Mall of the Emirates",29
